Status,Nome da obra no Brasil,Série,Lançamento brasileiro,Título original,Lançamento original,Desenvolvimento,Publicação,Lançamento em revista/jornal,Archive ID,Preservador,Link para gameplay,Screenshots,Descrição do jogo,YouTube ID,Filename base
PERDIDO,Dengotti,Positivo Informática,,The Adventures of King Dengotti,1997,PMD,Positivo Informática,,,,,"https://vinizinho.net/projects/cd-archive/figures/scans/scan148.png,https://vinizinho.net/projects/cd-archive/figures/scans/scan230.png",,nan,nan
OK,Pooh: Primeiros Passos,Positivo Informática,,Winnie the Pooh: Toddler,2000,Disney Interactive,Positivo Informática,,winnie-the-pooh-primeiros-passos-pc-br,rubinho146,,,,nan,nan
PERDIDO,Pooh: Maternal,Positivo Informática,,Winnie the Pooh: Preschool,2000,Disney Interactive,Positivo Informática,,,,,https://vinizinho.net/projects/cd-archive/figures/screenshots/disney-educacional.jpg,,nan,nan
PERDIDO,Pooh: Jardim,Positivo Informática,,Winnie the Pooh: Kindergarten,2000,Disney Interactive,Positivo Informática,,,,,https://vinizinho.net/projects/cd-archive/figures/screenshots/disney-educacional.jpg,,nan,nan
OK,Mickey Mouse: Primeiros Passos,Positivo Informática,,Mickey Mouse: Toddler,2000,Disney Interactive,Positivo Informática,,mickey-pp,Bruno Andrade,https://www.youtube.com/watch?v=BJyrpxoLCZM,,,BJyrpxoLCZM,BJyrpxoLCZM
PERDIDO,Mickey Mouse: Maternal,Positivo Informática,,Mickey Mouse: Preschool,2000,Disney Interactive,Positivo Informática,,,,,https://vinizinho.net/projects/cd-archive/figures/screenshots/disney-educacional.jpg,,nan,nan
PERDIDO,Mickey Mouse: Jardim,Positivo Informática,,Mickey Mouse: Kindergarten,2000,Disney Interactive,Positivo Informática,,,,,https://vinizinho.net/projects/cd-archive/figures/screenshots/disney-educacional.jpg,,nan,nan
PERDIDO,Buzz Lightyear: 1ª Série,Positivo Informática,,Disney's Buzz Lightyear 1st Grade,2000,Disney Interactive,Positivo Informática,,,,,https://vinizinho.net/projects/cd-archive/figures/screenshots/disney-educacional.jpg,,nan,nan
OK,Buzz Lightyear: 2ª Série,Positivo Informática,,Disney's Buzz Lightyear 2nd Grade,2000,Disney Interactive,Positivo Informática,,disney-buzzlightyear-2aserie,supremesonicbrazil,,,,nan,nan
OK,Mickey Mouse: Em Busca das Chaves Secretas,Positivo Informática,2004,Search for the Secret Keys,2002,Disney Interactive,Positivo Informática,,Disney_Mickey__Em_Busca_das_Chaves_Secretas_2002_PTBR_,Games&Cigarettes,https://www.youtube.com/watch?v=n4Uc2Bf-1-s,,,n4Uc2Bf-1-s,n4Uc2Bf-1-s
,Seção Editora Vale das Letras,,,,,,,,,,,,,nan,nan
OK,A Turma do Bicho Papão,Editora Vale das Letras,2004,,,Editora Vale das Letras,,,a-turma-do-bicho-papao,Yuunyanshi,https://www.youtube.com/watch?v=aP-Y8yZbiMg,,,aP-Y8yZbiMg,aP-Y8yZbiMg
OK,No Fundo do Mar,Editora Vale das Letras,2004,,,Editora Vale das Letras,,,no-fundo-do-mar-cd-rom,Yuunyanshi,https://www.youtube.com/watch?v=3h2B7K4K8oM,,,3h2B7K4K8oM,3h2B7K4K8oM
OK,Monstros vs. Alienígenas,Editora Vale das Letras,2009,,,Editora Vale das Letras,,,monstros_vs_alienigenas_vale-letras,,,,,nan,nan
OK,No Mundo dos Robôs,Editora Vale das Letras,2008,,,Editora Vale das Letras,,,no_mundo_dos_robos,Gabi Manzano,,,,nan,nan
,Seção Curso Objetivo,,,,,,,,,,,,,nan,nan
OK,Objetivo Educação Digital - 2ª Série EF - 4º Bimestre,Curso Objetivo,2000,,,Curso Objetivo,,,objetivo-ef-2s-4b,Gabriel Toschi,,,,nan,nan
OK,Objetivo Educação Digital - 3ª Série EF - 4º Bimestre,Curso Objetivo,2000,,,Curso Objetivo,,,objetivo-ef-3s-4b,Gabriel Toschi,,,,nan,nan
OK,Objetivo Educação Digital - 4ª Série EF - 4º Bimestre,Curso Objetivo,2000,,,Curso Objetivo,,,objetivo-ef-4s-4b,Gabriel Toschi,,,,nan,nan
OK,Objetivo Educação Digital - 5ª Série EF - 1º Bimestre,Curso Objetivo,2000,,,Curso Objetivo,,,objetivo-ef-5s-1b,Gabriel Toschi,,,,nan,nan
OK,Objetivo Educação Digital - 5ª Série EF - 2º Bimestre,Curso Objetivo,2000,,,Curso Objetivo,,,objetivo-ef-5s-2b,Gabriel Toschi,,,,nan,nan
OK,Objetivo Educação Digital - 6ª Série EF - 1º Bimestre,Curso Objetivo,2000,,,Curso Objetivo,,,objetivo-ef-6s-1b,Gabriel Toschi,,,,nan,nan
OK,Objetivo Educação Digital - 6ª Série EF - 2º Bimestre,Curso Objetivo,2000,,,Curso Objetivo,,,objetivo-ef-6s-2b,Gabriel Toschi,,,,nan,nan
OK,Objetivo Educação Digital - 6ª Série EF - 3º Bimestre,Curso Objetivo,2000,,,Curso Objetivo,,,objetivo-ef-6s-3b,Gabriel Toschi,,,,nan,nan
OK,Objetivo Educação Digital - 7ª Série EF - 2º Bimestre,Curso Objetivo,2000,,,Curso Objetivo,,,objetivo-ef-7s-2b,Gabriel Toschi,,,,nan,nan
OK,Objetivo Educação Digital - 7ª Série EF - 3º Bimestre,Curso Objetivo,2000,,,Curso Objetivo,,,objetivo-ef-7s-3b,Gabriel Toschi,,,,nan,nan
OK,Objetivo Educação Digital - 7ª Série EF - 4º Bimestre,Curso Objetivo,2000,,,Curso Objetivo,,,objetivo-ef-7s-4b,Gabriel Toschi,,,,nan,nan
OK,Objetivo Educação Digital - 8ª Série EF - 4º Bimestre,Curso Objetivo,2000,,,Curso Objetivo,,,objetivo-ef-8s-4b,Gabriel Toschi,,,,nan,nan
OK,Objetivo Educação Digital - 1ª Série EM - 1º Bimestre,Curso Objetivo,2000,,,Curso Objetivo,,,objetivo-em-1s-1b,Gabriel Toschi,,,,nan,nan
OK,Objetivo Educação Digital - 2ª Série EM - 1º Bimestre,Curso Objetivo,2000,,,Curso Objetivo,,,objetivo-em-2s-1b,Gabriel Toschi,,,,nan,nan
,Seção Expoente,,,,,,,,,,,,,nan,nan
